ABANDON;BİRİNİ TERK ETMEK
ABBREVİATE;KISALTMAK, ÖZETLEMEK
ABOLİSH;SONA ERDİRMEK
ABROAD;YURTDIŞI
ABSORB;İÇİNE ÇEKMEK, EMMEK
ABSTAİN FROM;-- DEN SAKINMAK
ABSTRACT;ÖZETLEMEK
ABUNDANCE;BEREKET
ABUNDANT;BEREKETLİ
ACCELERATE;HIZLANDIRMAK
ACCEPT;KABUL ETMEK
ACCESS;ERİŞMEK
ACCESSİBLE TO;ULAŞILABİLİR
ACCİDENT;KAZA
ACCOMMODATE;MİSAFİR AĞIRLAMAK
ACCOMMODATİON;KONAKLAMA
ACCOMPANY;EŞLİK ETMEK
ACCOMPLİSH;BAŞARMAK
ACCORDİNG;GÖRE,EYE
ACCOUNTANT;MUHASEBECİ
ACCUMULATE;BİRİKTİRMEK
ACCURACY;DOĞRULUK, KESİNLİK
ACCURATE;HATASIZ
ACCURATELY;EKSİKSİZ BİR ŞEKİLDE
ACCUSE OF;İTHAM ETMEK
ACHİEVE;BAŞARMAK
ACKNOWLEDGE AS;KABUL ETMEK
ACQUAİNTED WİTH;HABERDAR OLMAK
ACQUİRE;EDİNMEK, KAZANMAK
ACQUİSİTİON;EDİNİM
ACRONYM;KISALTILMIŞ SÖZCÜK
ACTİVİTY;FAALİYET
ADAPT;UYARLAMAK
ADDİCT;BAĞIMLI
ADDİCTİON TO;TİRYAKİLİK
ADDİTİON;EK,İLAVE
ADDİTİONALLY;AYRICA
ADDRESS;HİTABE, SÖYLEV
ADEQUATELY;YETERLİ BİR ŞEKİLDE
ADJUST;UYARLAMAK
ADJUSTMENT;DÜZELTME
ADMİNİSTER;İDARE ETMEK
ADMİRE;HAYRANOLMAK
ADMİT;KABULLENMEK, İTİRAF ETMEK
ADOPT;EVLAT EDİNMEK
ADORE;ÇOK SEVMEK
ADULT;YETİŞKİN
ADVENTURE;MACERA
ADVERSE;ZIT, KÖTÜ
ADVERTİSEMENT;REKLAM
ADVİCE;TAVSİYE
ADVOCATE;SAVUNMAK
AFFECT;ETKİLEMEK
AFFECTİON;ŞEVKAT
AFFORD;MADDİOLANAĞA SAHİPOLMAK
AFRAİD;KORKMUŞ
AGE;YAŞ
AGGRAVATE;KÖTÜYE GİTMEK, FENALAŞMAK
AGGRESSİVE;SALDIRGAN
AGREE;KATILMAK(BİRDÜŞÜNCEYE)
AİD;YARDIM ETMEK
AİRPLANE;UÇAK
ALİEN TO;YABANCI
ALLOW;İZİNVERMEK
ALONE;YALNIZ
ALONGSİDE;YANINDA
ALTER;DEĞİŞTİRMEK
ALTERATİON;DEĞİŞİKLİK
ALWAYS;HER ZAMAN
AMAZİNG;ŞAŞIRTICI
AMENDMENT;DEĞİŞİKLİK,
